"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5402","Test 2","chromium","2026-08-03","failed","2026-08-03","","Reporters.spec.js","",""
"","3026","Test 1","chromium","2026-08-03","passed","2026-08-03","","Reporters.spec.js","",""
